,name,occupation,dob,country
0,Sohail Abbas,field hockey player,,pakistan
1,Zaheer Abbas,cricketer,,pakistan
2,Ansar Abbasi,journalist,,pakistan
3,Abrar-ul-Haq,musician,,pakistan
4,Shahid Khan Afridi,cricketer,,pakistan
5,Khurram Hussain Agha,snooker player,,pakistan
6,Mohammad Abdul Ahed,"architect, painter",,pakistan
7,Khurshid Ahmad,scholar,,pakistan
8,Sheikh Rashid Ahmad,writer of Kashmiri Origin,,pakistan
9,Sohail Ahmad,"comedian, actor",,pakistan
10,Vaneeza Ahmad,"historian, archaeologist",,pakistan
11,Anna Molka Ahmed,artist,,pakistan
12,Aziz Ahmed,former foreign minister,,pakistan
13,Shahbaz Ahmed,field hockey player,,pakistan
14,Qadeeruddin Ahmed,chief justice,,pakistan
15,Zahid Ahmed,"artist, writer",,pakistan
16,Shoaib Akhtar,cricketer,,pakistan
17,Moin Akhter,actor,,pakistan
18,Kamran Akmal,cricketer,,pakistan
19,Wasim Akram,cricketer,,pakistan
20,Ahmed Ali,"writer, critic, translator, diplomat, scholar",,pakistan
21,Amanat Ali,singer,,pakistan
22,Aseff Ahmad Ali,former foreign minister,,pakistan
23,Babar Ali,actor,,pakistan
24,Chaudhry Muhammad Ali,former prime minister,,pakistan
25,Iman Ali,actress,,pakistan
26,Somy Ali,"actress, journalist",,pakistan
27,Liaquet Alikhan,former prime minister,,pakistan
28,Majeed Amjad,poet,,pakistan
29,Anjuman,actress,,pakistan
30,Saeed Anwar,cricketer,,pakistan
31,Anoushey Ashraf,actress,,pakistan
32,Mohammad Asif,cricketer,,pakistan
33,Atif Aslam,"singer, actor",,pakistan
34,Imran Aslam,journalist,,pakistan
35,Babar Awan,"lawyer, politician",,pakistan
36,Ghulam Farooq Awan,"lawyer, advisor to prime minister",,pakistan
37,Gohar Ayub,politician,,pakistan
38,Shaukat Aziz,"economist, former prime minister",,pakistan
39,Rehan Azmi,"poet, songwriter",,pakistan
40,Mirza Ather Baig,"novelist, playwright, storywriter",,pakistan
41,Idrees Bakhtiar,journalist,,pakistan
42,Nisar Bazmi,composer,,pakistan
43,Rana Bhagwandas,chief justice,,pakistan
44,Benazir Bhutto,former prime minister,,pakistan
45,Mumtaz Bhutto,"lawyer, politician",,pakistan
46,Zulfikar Ali Bhutto,"former prime minister, former president",,pakistan
47,Muhammad Ali Bogra,former prime minister,,pakistan
48,Professor Dr. Shahid Hussain Bokhari,researcher parallel and distributed computing,,pakistan
49,Badshah Munir Bukhari,"linguist, teacher, writer",,pakistan
50,Ansar Burney,human rights activist,,pakistan
51,Younus Changezi,politician,,pakistan
52,Javed Chaudhary,journalist,,pakistan
53,Fazal Ilahi Chaudhry,former president,,pakistan
54,Iftikhar Muhammad Chaudhry,chief justice,,pakistan
55,Abdur Rahman Chughtai,painter,,pakistan
56,Ibrahim Ismail Chundrigar,former prime minister,,pakistan
57,Ardeshir Cowasjee,columnist,,pakistan
58,Professor Dr. Ahmad Hasan Dani,"historian, archaeologist",,pakistan
59,Noon Meem Danish,poet,,pakistan
60,Attash Durrani,"scholar, linguist",,pakistan
61,Chaudhry Pervaiz Elahi,politician,,pakistan
62,Chaudhry Zahoor Elahi,politician,,pakistan
63,Chaudhry Fazal Ellahi,former president,,pakistan
64,Muhammad Essa,football player,,pakistan
65,Muhammad Farooq,journalist,,pakistan
66,Moeen Faruqi,artist,,pakistan
67,Ghulam Faruque,"politician, industrialist",,pakistan
68,Zahid Fazal,cricketer,,pakistan
